eleccion_tipo,provincia,agrupacion,porc_votos
GENERAL,Buenos Aires,UNION POR LA PATRIA,0.428789544
GENERAL,Buenos Aires,JUNTOS POR EL CAMBIO,0.240954181
GENERAL,Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.035806825
GENERAL,Buenos Aires,HACEMOS POR NUESTRO PAIS,0.037295469
GENERAL,Buenos Aires,LA LIBERTAD AVANZA,0.257153981
PASO,Buenos Aires,UNION POR LA PATRIA,0.356030546
PASO,Buenos Aires,HACEMOS POR NUESTRO PAIS,0.012272215
PASO,Buenos Aires,LA LIBERTAD AVANZA,0.271848305
PASO,Buenos Aires,JUNTOS POR EL CAMBIO,0.322926277
PASO,Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.036922658
GENERAL,Catamarca,HACEMOS POR NUESTRO PAIS,0.064298142
GENERAL,Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.015749114
GENERAL,Catamarca,LA LIBERTAD AVANZA,0.320352272
GENERAL,Catamarca,JUNTOS POR EL CAMBIO,0.17166792
GENERAL,Catamarca,UNION POR LA PATRIA,0.427932553
PASO,Catamarca,HACEMOS POR NUESTRO PAIS,0.018369439
PASO,Catamarca,LA LIBERTAD AVANZA,0.279850339
PASO,Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.014581068
PASO,Catamarca,JUNTOS POR EL CAMBIO,0.231798384
PASO,Catamarca,UNION POR LA PATRIA,0.455400771
GENERAL,Chaco,JUNTOS POR EL CAMBIO,0.241365936
GENERAL,Chaco,LA LIBERTAD AVANZA,0.277678471
GENERAL,Chaco,HACEMOS POR NUESTRO PAIS,0.036261945
GENERAL,Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.007703766
GENERAL,Chaco,UNION POR LA PATRIA,0.436989882
PASO,Chaco,UNION POR LA PATRIA,0.37342347
PASO,Chaco,LA LIBERTAD AVANZA,0.311850739
PASO,Chaco,JUNTOS POR EL CAMBIO,0.286160036
PASO,Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.013313303
PASO,Chaco,HACEMOS POR NUESTRO PAIS,0.015252452
GENERAL,Chubut,LA LIBERTAD AVANZA,0.350198392
GENERAL,Chubut,JUNTOS POR EL CAMBIO,0.205865314
GENERAL,Chubut,HACEMOS POR NUESTRO PAIS,0.077304657
GENERAL,Chubut,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,0.04402188
GENERAL,Chubut,UNION POR LA PATRIA,0.322609756
PASO,Chubut,UNION POR LA PATRIA,0.247289728
